Marca temporal;Dirección de correo electrónico;Nombre y apellidos;Género;Escuela;Edad ;Peso (kg sin decimales);Tiempo entrenando;EPS;Inscripción a ;Categoría formas;¿Es usted cinta negra?;Nombre completo acudiente;Teléfono acudiente
6/20/2019 15:49:23;mlmariacami2@gmail.com;David;Femenino;Zhang Fei;7;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694663
6/21/2019 15:49:23;mlmariacami2@gmail.com;Sofia;Femenino;Zhang Fei;10;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694664
6/22/2019 15:49:23;mlmariacami2@gmail.com;Daniel;Masculino;Zhang Fei;14;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694665
6/23/2019 15:49:23;mlmariacami2@gmail.com;Orrego;Masculino;Zhang Fei;17;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694666
6/24/2019 15:49:23;mlmariacami2@gmail.com;Ariel;Femenino;Zhang Fei;35;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694667
6/25/2019 15:49:23;mlmariacami2@gmail.com;Jazmin;Femenino;Zhang Fei;8;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694668
6/26/2019 15:49:23;mlmariacami2@gmail.com;Aladdin;Masculino;Zhang Fei;10;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694669
6/27/2019 15:49:23;mlmariacami2@gmail.com;Carlos;Masculino;Zhang Fei;14;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694670
6/28/2019 15:49:23;mlmariacami2@gmail.com;Jamaica;Masculino;Zhang Fei;15;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694671
6/29/2019 15:49:23;mlmariacami2@gmail.com;Garay;Masculino;Zhang Fei;20;50;0-1 año;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694672
6/21/2019 15:49:23;mlmariacami2@gmail.com;Carmen;Femenino;Zhang Fei;30;50;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;Sí;Constanza Restrepo ;3173694664
6/22/2019 15:49:23;mlmariacami2@gmail.com;Juan;Masculino;Zhang Fei;25;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694665
6/23/2019 15:49:23;mlmariacami2@gmail.com;Constanza;Masculino;Zhang Fei;21;50;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;Sí;Constanza Restrepo ;3173694666
6/24/2019 15:49:23;mlmariacami2@gmail.com;Monica;Femenino;Zhang Fei;22;50;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694667
6/25/2019 15:49:23;mlmariacami2@gmail.com;Camilo;Femenino;Zhang Fei;23;50;1-3 años;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694668
6/26/2019 15:49:23;mlmariacami2@gmail.com;Palma;Masculino;Zhang Fei;24;50;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694669
6/27/2019 15:49:23;mlmariacami2@gmail.com;Barrera;Masculino;Zhang Fei;26;50;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;No;Constanza Restrepo ;3173694670
6/28/2019 15:49:23;mlmariacami2@gmail.com;Salome;Masculino;Zhang Fei;27;50;3 años en adelante;Comfenalco;Sanda, Formas;Forma sin arma;Sí;Constanza Restrepo ;3173694671
